City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Tortoli,IT,80.98,broken clouds,39.9256,9.6572,Hotel La Bitta
542,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
543,Sinnamary,GF,80.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
544,Stephenville,US,77.18,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
545,Baft,IR,77.16,broken clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
546,Myitkyina,MM,79.34,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
547,Copiapo,CL,81.12,clear sky,-27.3667,-70.3333,San Francisco de La Selva
550,La Romana,DO,83.93,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
551,Vanimo,PG,78.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
554,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
557,Road Town,VG,86.09,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
561,Kashi,CN,79.27,broken clouds,39.4547,75.9797,帕米尔青年旅舍
564,Monrovia,LR,83.97,light rain,6.3005,-10.7969,Sunset Inn
570,Iracoubo,GF,81.19,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
577,Tecoanapa,MX,88.2,scattered clouds,16.5167,-98.75,Hotel Manglares
578,Puerto El Triunfo,SV,87.96,broken clouds,13.2833,-88.55,Hotel Jardin
579,Khash,IR,83.73,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
580,Itaberai,BR,87.1,overcast clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
584,Ambon,ID,80.24,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
588,Celestun,MX,88.56,clear sky,20.8667,-90.4,Posada Lilia
589,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
593,Kroya,ID,75.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
594,Dhidhdhoo,MV,83.75,broken clouds,6.8833,73.1,Dhidhoo beach
596,Dickinson,US,86.0,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
597,Taitung,TW,80.91,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
600,Puerto Madero,MX,88.0,broken clouds,14.7208,-92.4215,Hotel La Central
604,Samana,DO,88.02,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
606,Piranhas,BR,88.66,overcast clouds,-16.4269,-51.8222,Planalto Hotel
607,Dongli,CN,82.17,overcast clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
609,Dalbandin,PK,89.71,clear sky,28.8947,64.4101,Sanjrani House
613,Flagstaff,US,75.09,scattered clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
614,Kalmunai,LK,82.56,overcast clouds,7.4167,81.8167,VS Villa
