City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
148,Shelopugino,RU,2021-05-29 00:42:57,51.6514,117.5599,41,49,5.91,60.17
149,Selje,NO,2021-05-29 00:42:57,62.0459,5.351,83,6,7.87,51.66
150,Burnie,AU,2021-05-29 00:42:57,-41.0667,145.9167,52,0,1.28,52.92
151,Denpasar,ID,2021-05-29 00:42:58,-8.65,115.2167,94,75,6.15,80.26
152,Victoria,HK,2021-05-29 00:42:48,22.2855,114.1577,77,100,1.01,90.32
153,Boa Vista,BR,2021-05-29 00:38:09,2.8197,-60.6733,89,40,1.14,80.58
154,Ilulissat,GL,2021-05-29 00:42:58,69.2167,-51.1,46,16,4.61,48.22
155,Thompson,CA,2021-05-29 00:42:58,55.7435,-97.8558,31,75,14.97,59.16
156,Luganville,VU,2021-05-29 00:42:59,-15.5333,167.1667,63,50,6.2,77.45
157,Giyani,ZA,2021-05-29 00:42:59,-23.3025,30.7187,27,0,6.71,60.8
158,Olafsvik,IS,2021-05-29 00:42:59,64.8945,-23.7142,85,100,30.58,47.75
159,Bengkulu,ID,2021-05-29 00:42:06,-3.8004,102.2655,94,100,3.36,75.13
160,Mar Del Plata,AR,2021-05-29 00:39:08,-38.0023,-57.5575,82,40,10.36,54.0
161,San Cristobal,VE,2021-05-29 00:43:00,7.7669,-72.225,96,100,0.87,68.18
162,Hurricane,US,2021-05-29 00:43:00,37.1753,-113.2899,8,1,15.03,93.43
163,Zhigansk,RU,2021-05-29 00:43:00,66.7697,123.3711,60,0,17.05,50.85
164,Clyde River,CA,2021-05-29 00:41:21,70.4692,-68.5914,93,1,4.61,32.23
165,Gat,IL,2021-05-29 00:43:01,31.61,34.7642,100,0,3.58,70.39
166,Vestmannaeyjar,IS,2021-05-29 00:43:01,63.4427,-20.2734,90,99,43.51,47.3
167,Nemuro,JP,2021-05-29 00:43:01,43.3236,145.575,92,100,16.55,46.83
168,Kodiak,US,2021-05-29 00:43:02,57.79,-152.4072,76,90,11.5,49.51
169,Luderitz,NA,2021-05-29 00:43:02,-26.6481,15.1594,56,100,12.06,61.52
170,Katsuura,JP,2021-05-29 00:43:02,35.1333,140.3,82,100,21.79,73.51
171,Sisimiut,GL,2021-05-29 00:43:03,66.9395,-53.6735,78,15,8.55,39.49
172,Benjamin Constant,BR,2021-05-29 00:43:03,-4.3831,-70.0311,82,100,2.68,77.88
173,San Rafael,AR,2021-05-29 00:42:41,-34.6177,-68.3301,50,69,4.59,53.17
174,Avarua,CK,2021-05-29 00:43:03,-21.2078,-159.775,61,20,11.5,80.65
175,Bandarbeyla,SO,2021-05-29 00:43:04,9.4942,50.8122,81,87,19.95,79.27
176,Natal,BR,2021-05-29 00:41:59,-5.795,-35.2094,94,75,9.75,77.65
177,Port Hedland,AU,2021-05-29 00:43:04,-20.3167,118.5667,34,100,14.97,78.85
178,Ponta Do Sol,PT,2021-05-29 00:43:04,32.6667,-17.1,79,100,2.21,67.01
179,Mwanza,TZ,2021-05-29 00:43:05,-2.5167,32.9,77,100,5.23,68.86
180,Srandakan,ID,2021-05-29 00:42:13,-7.9386,110.2506,83,100,3.0,63.73
181,Kaspiyskiy,RU,2021-05-29 00:43:05,45.3929,47.3707,85,0,7.2,66.83
182,Pisco,PE,2021-05-29 00:43:06,-13.7,-76.2167,82,90,14.97,66.25
183,Xining,CN,2021-05-29 00:43:06,36.6167,101.7667,38,100,3.06,59.79
184,Altamira,BR,2021-05-29 00:43:06,-3.2033,-52.2064,94,99,2.73,73.11
185,Mandalgovi,MN,2021-05-29 00:43:06,45.7625,106.2708,50,97,8.79,55.27
186,Kousseri,CM,2021-05-29 00:43:07,12.0769,15.0306,43,91,3.44,89.56
187,Talas,TR,2021-05-29 00:43:07,38.6908,35.5538,87,0,2.24,50.67
188,Cerritos,US,2021-05-29 00:43:07,33.8583,-118.0648,64,1,5.99,87.01
189,Faanui,PF,2021-05-29 00:43:08,-16.4833,-151.75,70,16,3.02,80.35
190,Constitucion,CL,2021-05-29 00:39:22,-35.3333,-72.4167,78,5,5.41,52.34
191,Nishihara,JP,2021-05-29 00:43:08,26.1842,127.7558,92,75,7.25,81.68
192,Leh,IN,2021-05-29 00:43:08,34.1667,77.5833,32,0,2.1,47.1
193,Norman Wells,CA,2021-05-29 00:43:09,65.282,-126.8329,70,75,13.8,41.04
194,Meulaboh,ID,2021-05-29 00:43:09,4.1363,96.1285,87,100,5.3,77.13
195,Buala,SB,2021-05-29 00:43:09,-8.145,159.5921,85,100,7.49,80.26
196,Nava,MX,2021-05-29 00:43:09,28.4167,-100.7667,76,100,22.97,75.63
197,Maldonado,UY,2021-05-29 00:43:10,-34.6667,-54.9167,74,0,14.88,54.79
198,Akcakoca,TR,2021-05-29 00:43:10,41.0866,31.1162,94,100,6.82,59.25
199,Pyshchug,RU,2021-05-29 00:43:10,58.8873,45.7134,91,72,3.13,50.41
200,Port Lincoln,AU,2021-05-29 00:43:11,-34.7333,135.8667,66,4,13.51,58.95
201,Vostok,RU,2021-05-29 00:43:11,46.4856,135.8833,62,100,7.85,50.5
202,Carbondale,US,2021-05-29 00:43:11,37.7273,-89.2168,89,90,17.27,55.29
203,Samarai,PG,2021-05-29 00:43:11,-10.6167,150.6667,75,97,16.02,78.24
204,Mehamn,NO,2021-05-29 00:43:12,71.0357,27.8492,74,100,19.77,34.97
205,Jhol,PK,2021-05-29 00:43:12,25.9551,68.8882,71,42,16.6,82.47
206,Huarmey,PE,2021-05-29 00:43:12,-10.0681,-78.1522,90,7,8.43,66.78
207,Viedma,AR,2021-05-29 00:40:25,-40.8135,-62.9967,49,100,18.57,45.3
208,Dingle,PH,2021-05-29 00:43:13,10.9995,122.6711,70,44,2.64,86.22
209,Mount Darwin,ZW,2021-05-29 00:43:13,-16.7725,31.5838,60,0,3.09,49.41
210,Swift Current,CA,2021-05-29 00:43:13,50.2834,-107.8014,23,20,27.63,63.41
211,Changtu,CN,2021-05-29 00:43:14,42.7788,124.0955,50,46,1.41,64.85
212,Nhulunbuy,AU,2021-05-29 00:43:14,-12.2333,136.7667,65,40,14.97,83.01
213,Palekh,RU,2021-05-29 00:43:14,56.8028,41.8572,92,99,1.45,56.62
214,Camabatela,AO,2021-05-29 00:43:15,-8.1881,15.375,58,93,2.48,61.2
215,Erice,IT,2021-05-29 00:43:15,38.037,12.5865,74,100,3.58,60.37
216,Torbay,CA,2021-05-29 00:43:14,47.6666,-52.7314,71,20,17.27,43.39
217,La Romana,DO,2021-05-29 00:43:15,18.4273,-68.9728,100,40,0.0,80.33
218,Vila,PT,2021-05-29 00:43:16,42.0304,-8.1588,79,72,2.1,54.7
219,Muravlenko,RU,2021-05-29 00:43:16,63.7898,74.523,44,73,9.86,40.69
220,Bredasdorp,ZA,2021-05-29 00:43:16,-34.5322,20.0403,77,5,9.93,58.32
221,Muskegon,US,2021-05-29 00:40:40,43.3,-86.1334,45,75,12.75,53.94
222,Yulara,AU,2021-05-29 00:43:17,-25.2406,130.9889,58,0,14.97,53.44
223,Koslan,RU,2021-05-29 00:43:17,63.4564,48.8989,91,97,10.13,45.34
224,Souillac,MU,2021-05-29 00:43:17,-20.5167,57.5167,94,75,6.53,74.35
225,Okha,RU,2021-05-29 00:43:18,53.5739,142.9478,77,85,12.82,42.1
226,Methven,NZ,2021-05-29 00:43:18,-43.6333,171.65,99,100,9.19,43.47
227,Kijang,KR,2021-05-29 00:43:18,35.2442,129.2139,52,0,8.68,67.73
228,Berbera,SO,2021-05-29 00:43:18,10.4396,45.0143,52,100,4.18,89.06
229,Iskateley,RU,2021-05-29 00:43:19,67.6803,53.1512,96,100,12.91,38.17
230,Boa Esperanca,BR,2021-05-29 00:43:19,-21.09,-45.5658,67,95,5.32,67.41
231,Altamont,US,2021-05-29 00:43:19,42.2068,-121.7372,8,1,6.91,75.78
232,Moron,AR,2021-05-29 00:38:47,-34.6534,-58.6198,57,21,1.01,62.35
233,Emba,KZ,2021-05-29 00:43:20,48.8264,58.1442,31,100,12.95,70.74
234,Yumen,CN,2021-05-29 00:43:20,40.2833,97.2,23,5,6.08,72.18
235,Iasmos,GR,2021-05-29 00:43:20,41.1333,25.1833,76,13,4.09,65.28
236,Ferrol,ES,2021-05-29 00:43:21,43.4832,-8.2369,90,7,2.93,59.52
237,Isla Mujeres,MX,2021-05-29 00:43:21,21.2311,-86.731,78,4,9.01,82.17
238,Zelenets,RU,2021-05-29 00:43:21,61.8849,50.7489,93,17,7.38,52.05
239,Comodoro Rivadavia,AR,2021-05-29 00:41:14,-45.8667,-67.5,60,0,6.91,37.26
240,Caborca,MX,2021-05-29 00:43:22,30.5838,-111.101,6,5,13.4,90.48
241,North Platte,US,2021-05-29 00:43:22,41.1239,-100.7654,65,90,5.01,63.01
242,Kabanjahe,ID,2021-05-29 00:43:22,3.1001,98.4908,94,64,3.71,65.16
243,Lompoc,US,2021-05-29 00:38:41,34.6391,-120.4579,82,90,12.66,55.99
244,Shingu,JP,2021-05-29 00:43:22,33.7333,135.9833,60,100,3.94,72.59
245,Pitimbu,BR,2021-05-29 00:43:23,-7.4706,-34.8086,84,100,13.24,75.79
246,Gorontalo,ID,2021-05-29 00:43:23,0.5412,123.0595,68,15,3.69,86.16
247,Marawi,PH,2021-05-29 00:43:24,7.9986,124.2928,79,96,1.9,79.65
248,Laguna,US,2021-05-29 00:43:24,38.421,-121.4238,32,1,5.01,92.32
249,Dom Pedrito,BR,2021-05-29 00:43:24,-30.9828,-54.6731,98,100,3.06,60.91
250,Srednekolymsk,RU,2021-05-29 00:43:25,67.45,153.6833,31,55,17.63,57.15
251,Kanniyakumari,IN,2021-05-29 00:39:20,8.0833,77.5667,83,96,19.86,80.13
252,Puerto Escondido,MX,2021-05-29 00:43:25,15.85,-97.0667,70,100,4.59,84.69
253,Palmer,US,2021-05-29 00:43:25,42.1584,-72.3287,86,90,1.99,50.83
254,Libertad,PH,2021-05-29 00:43:25,8.9442,125.5019,71,100,2.35,85.44
255,Ouadda,CF,2021-05-29 00:43:26,8.0777,22.4007,90,89,4.09,68.58
256,Georgetown,MY,2021-05-29 00:42:34,5.4112,100.3354,87,20,1.99,81.9
257,Ulladulla,AU,2021-05-29 00:43:26,-35.35,150.4667,53,45,16.53,55.87
258,Antalaha,MG,2021-05-29 00:43:26,-14.9003,50.2788,87,20,6.31,69.39
259,Skjervoy,NO,2021-05-29 00:43:27,70.0311,20.9714,90,100,12.53,38.62
260,Aklavik,CA,2021-05-29 00:43:27,68.2191,-135.0107,60,100,15.86,32.83
261,Pangnirtung,CA,2021-05-29 00:43:27,66.1451,-65.7125,93,56,3.91,25.21
262,Blairmore,CA,2021-05-29 00:43:28,49.6,-114.4353,35,67,13.8,54.52
263,Udachnyy,RU,2021-05-29 00:43:28,66.4167,112.4,51,55,13.18,55.38
264,Portland,US,2021-05-29 00:38:52,45.5234,-122.6762,34,40,3.44,70.0
265,Sao Joao Da Barra,BR,2021-05-29 00:43:28,-21.6403,-41.0511,90,21,17.05,74.79
266,Port Augusta,AU,2021-05-29 00:43:29,-32.5,137.7667,47,96,7.11,56.71
267,Areia Branca,BR,2021-05-29 00:43:29,-4.9561,-37.1369,76,63,15.93,78.96
268,Pathein,MM,2021-05-29 00:43:30,16.7833,94.7333,83,100,4.45,81.54
269,Cestas,FR,2021-05-29 00:43:30,44.7435,-0.6791,72,0,2.3,64.33
270,Izhma,RU,2021-05-29 00:43:30,65.0083,53.9113,80,100,10.11,49.77
