City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Sobolevo,RU,54.4299,31.8996,55.38,82,94,7.25,overcast clouds
137,Talnakh,RU,69.4865,88.3972,29.39,98,94,5.35,overcast clouds
138,Kollam,IN,8.8833,76.6,78.67,82,40,9.6,scattered clouds
139,Salekhard,RU,66.53,66.6019,44.58,66,73,11.86,broken clouds
140,Stepnyak,KZ,52.8339,70.7803,61.39,42,0,8.86,clear sky
141,Makaryev,RU,57.8797,43.8069,52.29,88,100,13.2,overcast clouds
142,Kodiak,US,57.79,-152.4072,45.91,93,90,9.22,light rain
143,Evanston,US,42.0411,-87.6901,61.18,43,1,5.99,clear sky
144,Inhambane,MZ,-23.865,35.3833,69.85,80,0,4.41,clear sky
145,Kontagora,NG,10.3999,5.4695,97.18,30,23,8.97,few clouds
146,Tornio,FI,65.8481,24.1466,46.42,63,73,10.09,broken clouds
147,Saint-Augustin,CA,51.226,-58.6502,56.7,36,40,7.63,scattered clouds
148,Provideniya,RU,64.3833,-173.3,40.3,52,7,12.57,clear sky
149,Purpe,RU,64.4803,76.6897,50.34,52,58,17.83,broken clouds
150,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,13.06,overcast clouds
151,Ostrovnoy,RU,68.0531,39.5131,35.73,78,96,17.98,overcast clouds
152,Torbay,CA,47.6666,-52.7314,57.27,59,75,17.27,broken clouds
153,Mogadishu,SO,2.0371,45.3438,78.6,84,51,14.2,broken clouds
154,Hasaki,JP,35.7333,140.8333,66.6,83,42,1.19,scattered clouds
155,Joao Pinheiro,BR,-17.7425,-46.1725,85.96,33,93,5.23,overcast clouds
156,Yellowknife,CA,62.456,-114.3525,51.33,53,20,1.99,few clouds
157,Lilongwe,MW,-13.9669,33.7873,63.63,52,0,6.38,clear sky
158,Oksfjord,NO,70.2396,22.3479,44.67,74,63,10.11,broken clouds
159,Manokwari,ID,-0.8667,134.0833,78.96,81,100,3.56,overcast clouds
160,Walvis Bay,NA,-22.9575,14.5053,67.15,59,66,13.15,broken clouds
161,Svetlaya,RU,46.5389,138.3297,43.93,94,100,17.72,light rain
162,Grand Gaube,MU,-20.0064,57.6608,75.6,89,13,3.0,light rain
163,Alofi,NU,-19.0595,-169.9187,73.29,100,89,3.44,moderate rain
164,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.74,broken clouds
165,Coahuayana,MX,18.7333,-103.6833,93.36,29,81,6.71,broken clouds
166,Lucea,JM,18.451,-78.1736,85.86,68,5,0.83,clear sky
167,Mayo,US,38.8876,-76.5119,54.37,94,90,18.99,overcast clouds
168,Moroni,KM,-11.7022,43.2551,77.0,79,61,9.22,broken clouds
169,La Asuncion,VE,11.0333,-63.8628,83.93,70,4,15.35,clear sky
170,Dingle,PH,10.9995,122.6711,78.24,90,93,2.68,overcast clouds
171,Victoria,HK,22.2855,114.1577,86.97,88,100,5.01,overcast clouds
172,Srednekolymsk,RU,67.45,153.6833,47.86,50,50,9.57,scattered clouds
173,Arequipa,PE,-16.3989,-71.535,66.27,34,0,6.91,clear sky
174,Waipawa,NZ,-41.4122,175.5153,48.83,94,100,7.2,overcast clouds
175,Rockhampton,AU,-23.3833,150.5,60.69,63,81,9.22,broken clouds
176,Kysyl-Syr,RU,63.8986,122.7617,54.01,59,80,3.47,broken clouds
177,Mehamn,NO,71.0357,27.8492,40.26,81,96,15.88,light rain
178,Sao Filipe,CV,14.8961,-24.4956,74.82,75,4,15.32,clear sky
179,Palmas Del Socorro,CO,6.4067,-73.2869,77.45,65,100,1.77,overcast clouds
180,Maceio,BR,-9.6658,-35.7353,85.44,51,40,9.66,scattered clouds
181,Muros,ES,42.7762,-9.0603,75.69,60,32,13.49,scattered clouds
182,Dikson,RU,73.5069,80.5464,22.33,92,49,1.45,scattered clouds
183,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,12.66,light rain
184,Jamestown,US,42.097,-79.2353,49.59,86,90,8.99,overcast clouds
185,Yacuiba,BO,-22.038,-63.6797,72.12,53,99,9.89,overcast clouds
186,Rio Claro,BR,-22.4114,-47.5614,85.82,40,83,11.39,broken clouds
187,Beringovskiy,RU,63.05,179.3167,28.76,89,22,9.48,few clouds
188,Fortuna,US,40.5982,-124.1573,52.66,94,90,5.75,overcast clouds
189,Tefe,BR,-3.3542,-64.7114,86.11,79,40,5.75,scattered clouds
190,Codrington,AU,-38.2667,141.9667,40.62,92,2,7.0,clear sky
191,Cortez,US,37.3489,-108.5859,78.03,21,69,9.93,broken clouds
192,Marawi,PH,7.9986,124.2928,73.65,93,63,1.66,broken clouds
193,Sebrovo,RU,50.0981,43.2976,70.66,60,8,5.93,clear sky
194,Christchurch,NZ,-43.5333,172.6333,55.99,91,75,4.0,light rain
195,Cabedelo,BR,-6.9811,-34.8339,84.87,68,10,18.07,clear sky
196,Norman Wells,CA,65.282,-126.8329,33.84,93,90,4.61,overcast clouds
197,Luganville,VU,-15.5333,167.1667,74.05,77,99,5.28,overcast clouds
198,Novi Becej,RS,45.5986,20.1356,63.72,57,26,8.97,scattered clouds
199,Labuhan,ID,-6.8844,112.2051,78.53,85,54,6.15,broken clouds
200,Emerald,AU,-23.5333,148.1667,57.34,44,90,11.5,overcast clouds
201,Yongzhou,CN,26.4559,111.5988,69.66,95,100,1.23,overcast clouds
202,Dalvik,IS,65.9702,-18.5286,57.13,51,91,11.56,overcast clouds
203,Kabanjahe,ID,3.1001,98.4908,66.96,94,81,3.22,broken clouds
204,Hualmay,PE,-11.0964,-77.6139,68.59,76,70,10.51,broken clouds
205,Dharchula,IN,29.85,80.5333,71.2,85,97,2.51,overcast clouds
206,Vostok,RU,46.4856,135.8833,43.81,90,100,2.26,overcast clouds
